;age;job;marital;education;credit_in_default;housing_loan;personal_loan;last_contact_type;last_contact_month;last_contact_day;last_contact_duration;n_contacts_this_campaign;days_since_last_contact;n_contacts_prev_campaign;prev_campaign_outcome;registered
18;41.0;blue-collar - Almada;married;basic.9y;unknown;no;no;telephone;may;thu;;2;999;0;nonexistent;no
19;50.0;blue-collar - Loulé;divorced;high.school;unknown;no;yes;telephone;may;mon;200.0;2;999;0;nonexistent;no
20;51.0;;married;basic.4y;unknown;yes;yes;cellular;jul;mon;297.0;3;999;0;nonexistent;no
21;51.0;blue-collar - Almada;married;basic.9y;unknown;yes;no;telephone;jun;mon;;1;999;0;nonexistent;no
22;29.0;blue-collar - Almada;married;basic.9y;no;yes;no;cellular;may;fri;14.0;4;999;0;nonexistent;no
23;28.0;admin. - Macedo de Cavaleiros;;university.degree;no;yes;no;telephone;jul;mon;160.0;10;999;0;nonexistent;no
24;34.0;admin. - Queluz;single;university.degree;no;no;yes;telephone;may;wed;;4;999;0;nonexistent;no
25;34.0;blue-collar - Gondomar;married;unknown;no;yes;no;cellular;may;tue;;1;999;1;failure;no
26;44.0;technician - Setúbal;divorced;professional.course;no;no;yes;telephone;jul;mon;107.0;3;999;0;nonexistent;no
27;55.0;technician - Portalegre;married;professional.course;no;yes;yes;cellular;aug;mon;;4;999;0;nonexistent;no
28;42.0;admin. - Póvoa de Santa Iria;single;high.school;no;no;no;cellular;jul;fri;163.0;1;999;0;nonexistent;no
29;48.0;technician - Sines;single;professional.course;no;yes;no;cellular;may;wed;142.0;2;999;0;nonexistent;no
30;31.0;admin. - Santo Tirso;divorced;high.school;no;no;no;telephone;jun;fri;111.0;3;999;0;nonexistent;no
31;31.0;blue-collar - Rio Tinto;married;basic.6y;no;yes;no;cellular;nov;mon;;1;999;2;failure;no
32;29.0;blue-collar - Fafe;single;;no;no;no;cellular;jul;mon;135.0;2;999;0;nonexistent;no
33;45.0;technician - Gafanha da Nazaré;single;professional.course;no;yes;yes;cellular;mar;thu;143.0;2;999;0;nonexistent;no
34;34.0;admin. - Fátima;single;university.degree;no;yes;no;cellular;aug;mon;;3;999;0;nonexistent;no
35;;management - Vila Franca de Xira;married;basic.4y;no;no;no;cellular;nov;mon;96.0;2;999;0;nonexistent;no
36;41.0;admin. - Gafanha da Nazaré;married;university.degree;no;yes;no;cellular;jul;fri;269.0;7;6;3;success;no
37;40.0;blue-collar - Valongo;married;basic.4y;no;yes;no;telephone;jun;thu;134.0;1;999;0;nonexistent;no
38;44.0;management - Santa Comba Dão;married;;unknown;yes;no;cellular;jul;mon;418.0;1;999;0;nonexistent;no
39;32.0;technician - Agualva-Cacém;single;professional.course;no;yes;no;cellular;apr;mon;54.0;1;999;0;nonexistent;no
40;53.0;unemployed - Barcelos;married;basic.4y;unknown;yes;no;telephone;may;wed;339.0;10;999;0;nonexistent;no
41;46.0;entrepreneur - Tavira;married;high.school;no;no;no;cellular;jun;tue;69.0;2;999;1;failure;no
42;37.0;services - Agualva-Cacém;married;high.school;no;no;no;cellular;may;wed;;1;999;1;failure;no
43;37.0;admin. - Freamunde;divorced;university.degree;no;yes;no;telephone;jun;mon;683.0;1;999;0;nonexistent;no
44;53.0;unemployed - Vila Baleira (a.k.a. Porto Santo);married;basic.6y;unknown;no;no;cellular;jul;mon;273.0;1;999;0;nonexistent;no
45;41.0;housemaid - Odivelas;single;basic.4y;unknown;yes;no;cellular;jul;mon;385.0;3;999;0;nonexistent;no
46;53.0;;married;university.degree;no;yes;no;cellular;aug;thu;;1;999;0;nonexistent;no
47;34.0;technician - Covilhã;single;university.degree;no;yes;no;cellular;aug;wed;82.0;1;999;0;nonexistent;no
48;45.0;blue-collar - Oliveira do Bairro;married;basic.9y;unknown;yes;no;telephone;may;wed;142.0;1;999;0;nonexistent;no
49;29.0;services - Estremoz;married;basic.9y;no;no;no;telephone;may;fri;116.0;3;999;0;nonexistent;no
50;37.0;admin. - Águeda;single;university.degree;no;yes;no;cellular;mar;thu;194.0;2;999;1;failure;no
51;40.0;blue-collar - Guimarães;married;basic.9y;unknown;no;no;telephone;may;mon;46.0;1;999;0;nonexistent;no
52;26.0;admin. - Gafanha da Nazaré;married;high.school;no;yes;yes;telephone;jun;wed;119.0;2;999;0;nonexistent;no
53;34.0;blue-collar - Almada;married;;unknown;no;yes;cellular;may;thu;262.0;1;999;0;nonexistent;no
54;27.0;technician - Ponta Delgada;married;;no;yes;no;cellular;jun;mon;492.0;1;999;0;nonexistent;no
55;48.0;technician - Marinha Grande;married;high.school;no;yes;no;cellular;aug;thu;102.0;3;999;0;nonexistent;no
56;;technician - Odivelas;single;basic.9y;unknown;no;no;cellular;jul;fri;171.0;7;999;0;nonexistent;no
57;31.0;entrepreneur - Oliveira de Azeméis;married;;no;yes;no;telephone;jun;fri;40.0;2;999;0;nonexistent;no
58;35.0;blue-collar - Mealhada;married;professional.course;no;yes;no;cellular;may;wed;466.0;2;999;0;nonexistent;no
59;45.0;blue-collar - Lagoa;single;;no;no;no;telephone;may;thu;78.0;3;999;0;nonexistent;no
60;33.0;admin. - Portalegre;single;university.degree;no;no;no;cellular;nov;thu;291.0;1;999;0;nonexistent;no
61;37.0;blue-collar - Viseu;single;basic.9y;no;yes;no;telephone;may;tue;185.0;2;999;0;nonexistent;no
62;42.0;technician - Santana;divorced;professional.course;no;yes;no;cellular;aug;tue;265.0;11;999;0;nonexistent;no
63;30.0;technician - Portalegre;single;university.degree;no;yes;no;cellular;aug;fri;;3;999;0;nonexistent;no
64;43.0;blue-collar - Póvoa de Santa Iria;married;basic.4y;unknown;yes;no;cellular;jul;fri;101.0;6;999;0;nonexistent;no
65;44.0;admin. - Albufeira;single;basic.6y;unknown;yes;no;cellular;jul;thu;130.0;2;999;0;nonexistent;no
66;27.0;services - Porto;single;high.school;no;yes;no;cellular;jul;tue;168.0;3;999;0;nonexistent;no
67;36.0;;married;high.school;no;no;no;telephone;may;thu;;2;999;0;nonexistent;no
68;32.0;admin. - Queluz;married;university.degree;no;yes;yes;cellular;nov;thu;51.0;1;999;0;nonexistent;no
69;;blue-collar - Olhão da Restauração;married;basic.9y;unknown;yes;no;cellular;may;mon;186.0;1;999;0;nonexistent;no
70;33.0;technician - Lagoa;married;professional.course;no;yes;no;telephone;aug;fri;58.0;1;999;0;nonexistent;no
71;28.0;technician - Esmoriz;single;high.school;no;yes;no;cellular;jul;tue;;1;999;0;nonexistent;no
72;46.0;blue-collar - Olhão da Restauração;;basic.4y;no;no;no;cellular;nov;thu;185.0;2;999;0;nonexistent;no
73;58.0;blue-collar - Tondela;married;basic.4y;unknown;yes;no;telephone;aug;wed;;21;999;0;nonexistent;no
74;55.0;blue-collar - Gafanha da Nazaré;single;basic.4y;no;yes;no;cellular;apr;wed;;2;999;0;nonexistent;no
75;42.0;blue-collar - Oliveira de Azeméis;married;basic.6y;no;no;no;telephone;may;wed;287.0;1;999;0;nonexistent;no
76;25.0;technician - Torres Vedras;single;professional.course;no;yes;no;cellular;jul;thu;312.0;5;999;0;nonexistent;no
77;44.0;management - Leiria;married;basic.9y;unknown;no;no;telephone;may;wed;;2;999;0;nonexistent;no
78;31.0;blue-collar - Vila Baleira (a.k.a. Porto Santo);single;high.school;no;yes;no;telephone;may;thu;120.0;1;999;0;nonexistent;no
79;40.0;admin. - Câmara de Lobos;married;high.school;unknown;no;yes;cellular;may;fri;;4;999;0;nonexistent;no
80;33.0;technician - Vila Baleira (a.k.a. Porto Santo);married;professional.course;unknown;no;no;cellular;may;wed;167.0;3;999;1;failure;no
81;37.0;admin. - Esmoriz;married;university.degree;no;yes;no;cellular;jul;wed;353.0;1;999;0;nonexistent;no
82;33.0;technician - Vila do Conde;;professional.course;no;no;no;cellular;aug;thu;64.0;1;999;0;nonexistent;no
83;34.0;technician - Gondomar;single;university.degree;no;no;no;cellular;jul;tue;173.0;1;999;0;nonexistent;no
84;33.0;blue-collar - Alfena;married;basic.6y;unknown;yes;no;cellular;jul;tue;186.0;1;999;0;nonexistent;no
85;33.0;technician - Porto;single;professional.course;no;yes;no;cellular;may;tue;42.0;1;999;0;nonexistent;no
86;34.0;services - Pinhel;single;high.school;no;no;no;cellular;nov;wed;155.0;1;999;1;failure;no
87;39.0;admin. - Santa Maria da Feira;married;high.school;no;yes;no;telephone;may;fri;343.0;1;999;0;nonexistent;no
88;42.0;blue-collar - Faro;married;basic.6y;no;yes;no;cellular;may;thu;56.0;1;999;0;nonexistent;no
89;47.0;blue-collar - Póvoa de Santa Iria;married;unknown;unknown;no;no;telephone;may;thu;361.0;1;999;0;nonexistent;no
90;40.0;services - Agualva-Cacém;married;basic.6y;no;no;no;cellular;nov;thu;;2;999;0;nonexistent;no
91;39.0;services - Funchal;divorced;high.school;unknown;yes;no;telephone;jun;mon;241.0;5;999;0;nonexistent;no
92;42.0;blue-collar - Estremoz;married;;no;no;yes;cellular;apr;thu;579.0;3;999;0;nonexistent;no
93;54.0;services - Valpaços;married;basic.9y;no;yes;yes;cellular;nov;mon;175.0;3;999;0;nonexistent;no
94;41.0;admin. - Vila Nova de Santo André;married;university.degree;no;yes;no;cellular;aug;wed;460.0;1;999;0;nonexistent;no
95;33.0;admin. - Praia da Vitória;single;university.degree;no;yes;no;cellular;aug;mon;566.0;6;999;0;nonexistent;no
96;23.0;management - Praia da Vitória;single;university.degree;no;yes;yes;cellular;jul;thu;804.0;2;999;0;nonexistent;no
97;53.0;technician - Póvoa de Santa Iria;divorced;high.school;no;yes;no;cellular;jul;tue;;4;999;0;nonexistent;no
98;54.0;blue-collar - Elvas;married;basic.9y;unknown;yes;no;cellular;jul;fri;602.0;5;999;0;nonexistent;no
99;58.0;;divorced;unknown;unknown;yes;no;cellular;jul;mon;341.0;12;999;0;nonexistent;no
100;35.0;blue-collar - Rio Tinto;married;basic.4y;no;yes;no;telephone;jul;fri;178.0;1;999;0;nonexistent;no
101;25.0;admin. - Agualva-Cacém;single;high.school;no;no;no;cellular;jul;tue;313.0;6;999;0;nonexistent;no
102;41.0;management - Chaves;married;university.degree;no;unknown;unknown;cellular;may;tue;;1;999;0;nonexistent;no
103;35.0;technician - Peso da Régua;;professional.course;no;yes;no;cellular;aug;mon;120.0;2;999;0;nonexistent;no
104;28.0;blue-collar - Lagoa;single;high.school;no;yes;no;cellular;jul;tue;;5;999;0;nonexistent;no
105;26.0;;single;high.school;no;no;no;telephone;jun;wed;72.0;1;999;0;nonexistent;no
106;57.0;blue-collar - Anadia;married;basic.4y;unknown;yes;no;telephone;may;thu;1051.0;3;999;0;nonexistent;no
107;51.0;services - Barcelos;married;high.school;unknown;no;yes;cellular;aug;tue;20.0;5;999;0;nonexistent;no
108;24.0;technician - Horta;divorced;professional.course;no;no;no;cellular;apr;fri;332.0;1;999;1;failure;no
109;29.0;self-employed - Caniço;married;professional.course;no;no;no;telephone;jun;wed;632.0;1;999;0;nonexistent;no
110;46.0;management - Covilhã;married;high.school;no;no;no;cellular;nov;fri;;3;999;0;nonexistent;no
111;53.0;services - Agualva-Cacém;married;unknown;no;yes;no;cellular;jun;tue;;1;999;0;nonexistent;no
112;26.0;services - Amora;single;high.school;no;yes;no;cellular;jul;wed;284.0;8;999;0;nonexistent;no
113;55.0;technician - Guimarães;married;basic.6y;no;yes;no;telephone;may;tue;452.0;2;999;0;nonexistent;no
114;35.0;blue-collar - Peso da Régua;single;;no;no;no;cellular;jun;mon;;1;999;0;nonexistent;no
115;59.0;admin. - Covilhã;divorced;;no;no;no;cellular;apr;wed;194.0;1;999;0;nonexistent;no
116;;services - Quarteira;married;unknown;no;yes;no;telephone;may;wed;333.0;1;999;0;nonexistent;no
117;47.0;admin. - Loulé;married;university.degree;no;yes;no;cellular;nov;thu;70.0;2;999;0;nonexistent;no
118;34.0;;;professional.course;unknown;yes;no;telephone;may;thu;158.0;1;999;0;nonexistent;no
119;66.0;retired - Valongo;married;professional.course;no;yes;yes;cellular;apr;fri;222.0;4;999;0;nonexistent;no
120;35.0;management - Lisbon;single;university.degree;no;yes;no;cellular;jul;tue;590.0;23;999;0;nonexistent;no
121;27.0;admin. - Rio Tinto;married;high.school;no;no;no;cellular;oct;tue;572.0;1;999;0;nonexistent;no
122;36.0;housemaid - Tarouca;married;basic.4y;no;no;no;cellular;aug;mon;;2;999;0;nonexistent;no
123;34.0;;married;high.school;no;no;no;telephone;may;tue;211.0;1;999;0;nonexistent;no
124;39.0;blue-collar - Castelo Branco;married;basic.9y;no;yes;no;cellular;may;tue;149.0;1;999;0;nonexistent;no
125;28.0;services - Oliveira do Bairro;single;basic.9y;no;yes;no;telephone;may;fri;148.0;2;999;0;nonexistent;no
126;41.0;services - Alfena;married;high.school;unknown;yes;yes;telephone;jun;tue;31.0;1;999;0;nonexistent;no
127;34.0;management - Figueira da Foz;married;university.degree;no;yes;no;telephone;may;wed;155.0;1;999;0;nonexistent;no
128;52.0;management - Ermesinde;married;university.degree;no;no;no;cellular;may;fri;698.0;5;999;1;failure;no
129;36.0;blue-collar - Gouveia;married;unknown;unknown;yes;no;telephone;may;fri;219.0;4;999;0;nonexistent;no
130;33.0;;married;;unknown;yes;no;cellular;nov;thu;386.0;2;999;0;nonexistent;no
131;50.0;management - Pinhel;married;;no;yes;no;cellular;oct;fri;;2;999;0;nonexistent;no
132;31.0;services - Aveiro;married;high.school;no;no;yes;cellular;nov;thu;;1;999;0;nonexistent;no
133;45.0;blue-collar - Gondomar;single;high.school;no;no;no;cellular;may;fri;358.0;1;999;0;nonexistent;no
134;47.0;admin. - Sines;married;university.degree;no;yes;no;telephone;jun;tue;;9;999;0;nonexistent;no
135;38.0;admin. - Silves;married;university.degree;no;yes;no;telephone;aug;fri;20.0;1;999;0;nonexistent;no
136;55.0;admin. - Vila do Conde;single;university.degree;unknown;no;no;cellular;nov;mon;;1;999;0;nonexistent;no
137;48.0;blue-collar - Agualva-Cacém;married;basic.4y;no;no;no;telephone;jun;fri;29.0;2;999;0;nonexistent;no
138;29.0;services - Peso da Régua;married;high.school;no;yes;yes;cellular;may;tue;380.0;1;999;0;nonexistent;no
139;31.0;blue-collar - Maia;married;basic.9y;no;no;no;cellular;nov;thu;277.0;1;999;0;nonexistent;no
140;51.0;technician - Oliveira do Hospital;divorced;high.school;unknown;no;no;cellular;aug;tue;162.0;3;999;0;nonexistent;no
141;27.0;technician - Barcelos;married;professional.course;no;no;no;cellular;may;tue;234.0;6;999;1;failure;no
142;40.0;technician - Marinha Grande;married;professional.course;no;yes;no;cellular;aug;thu;;8;999;0;nonexistent;no
143;30.0;blue-collar - Serpa;single;unknown;no;yes;no;telephone;may;mon;;1;999;0;nonexistent;no
144;39.0;technician - Leiria;single;professional.course;no;yes;no;cellular;nov;wed;180.0;1;999;1;failure;no
145;29.0;admin. - Praia da Vitória;married;university.degree;no;no;no;telephone;jul;mon;;1;999;0;nonexistent;no
146;55.0;unemployed - Mêda;divorced;basic.9y;no;no;no;telephone;jun;fri;9.0;6;999;0;nonexistent;no
147;34.0;management - Trancoso;divorced;university.degree;no;no;yes;cellular;jul;tue;;5;999;0;nonexistent;no
148;53.0;unknown - Santana;married;high.school;unknown;no;no;telephone;jun;wed;;3;999;0;nonexistent;no
149;51.0;services - Barreiro;married;high.school;unknown;no;yes;telephone;jun;wed;269.0;1;999;0;nonexistent;no
150;29.0;admin. - Coimbra;single;university.degree;no;no;no;cellular;jul;wed;;6;999;0;nonexistent;no
151;22.0;admin. - Abrantes;single;high.school;no;yes;no;cellular;jul;tue;;1;999;0;nonexistent;no
152;42.0;management - Valongo;married;basic.6y;no;no;no;cellular;nov;fri;133.0;1;999;0;nonexistent;no
153;33.0;admin. - Esposende;married;university.degree;no;no;no;telephone;may;wed;55.0;1;999;0;nonexistent;no
154;41.0;admin. - Barreiro;single;high.school;no;no;no;cellular;apr;fri;;3;999;0;nonexistent;no
155;44.0;blue-collar - Oliveira do Bairro;married;basic.4y;unknown;yes;yes;cellular;aug;wed;310.0;1;999;0;nonexistent;no
156;42.0;blue-collar - Tondela;divorced;basic.9y;no;yes;no;telephone;may;wed;;11;999;0;nonexistent;no
157;26.0;management - Águeda;;university.degree;unknown;yes;no;cellular;jul;wed;124.0;1;999;0;nonexistent;no
158;23.0;student - Almada;single;basic.9y;no;no;no;cellular;jul;tue;73.0;6;999;0;nonexistent;no
159;35.0;blue-collar - Vila Nova de Famalicão;single;basic.6y;no;no;no;cellular;nov;thu;370.0;1;999;1;failure;no
160;52.0;admin. - Torres Vedras;married;;no;no;no;cellular;aug;mon;;1;999;0;nonexistent;no
161;26.0;;married;basic.9y;no;no;no;cellular;may;wed;45.0;2;999;2;failure;no
162;32.0;blue-collar - Rio Tinto;married;basic.9y;no;yes;no;cellular;may;fri;;2;999;1;failure;no
163;45.0;technician - Póvoa de Santa Iria;married;professional.course;no;no;no;telephone;jul;wed;20.0;5;999;0;nonexistent;no
164;36.0;services - Mangualde;;high.school;no;yes;no;cellular;oct;fri;;1;6;1;success;no
165;73.0;retired - Alfena;married;basic.9y;no;no;no;cellular;aug;fri;239.0;1;15;1;success;no
166;;blue-collar - Rebordosa;single;basic.6y;no;yes;no;cellular;may;tue;357.0;1;999;2;failure;no
167;56.0;management - Santana;married;basic.9y;unknown;no;no;cellular;apr;tue;;1;999;0;nonexistent;no
168;40.0;blue-collar - Vila Baleira (a.k.a. Porto Santo);single;unknown;unknown;yes;no;telephone;jun;fri;8.0;7;999;0;nonexistent;no
169;46.0;blue-collar - Loulé;married;basic.4y;no;yes;no;cellular;nov;wed;416.0;2;999;0;nonexistent;no
170;51.0;services - Águeda;divorced;unknown;unknown;yes;no;telephone;jun;fri;16.0;3;999;0;nonexistent;no
171;24.0;services - Torres Vedras;single;high.school;no;no;no;telephone;may;wed;260.0;1;999;0;nonexistent;no
172;35.0;management - Évora;divorced;university.degree;no;no;no;cellular;jul;fri;210.0;4;999;0;nonexistent;no
173;53.0;;married;basic.4y;no;yes;no;telephone;jul;fri;;1;999;0;nonexistent;no
174;34.0;admin. - Funchal;single;high.school;no;no;no;telephone;jun;tue;423.0;1;999;0;nonexistent;no
175;45.0;services - Águeda;divorced;high.school;unknown;no;no;cellular;may;wed;;3;999;0;nonexistent;no
176;45.0;blue-collar - Santa Cruz;married;illiterate;no;yes;no;cellular;aug;fri;;1;999;0;nonexistent;no
177;37.0;admin. - Fundão;divorced;basic.9y;unknown;no;no;telephone;may;thu;312.0;6;999;0;nonexistent;no
178;49.0;blue-collar - Vila Franca de Xira;married;basic.6y;no;no;no;cellular;aug;mon;;6;999;0;nonexistent;no
179;36.0;services - Ermesinde;married;basic.6y;no;yes;no;telephone;may;thu;64.0;1;999;0;nonexistent;no
180;43.0;blue-collar - Ílhavo;married;basic.9y;unknown;unknown;unknown;cellular;may;tue;46.0;1;999;0;nonexistent;no
181;34.0;blue-collar - Rebordosa;married;basic.9y;no;yes;no;telephone;may;tue;;2;999;0;nonexistent;no
182;38.0;blue-collar - Águeda;married;basic.6y;no;no;no;cellular;jul;tue;728.0;8;999;0;nonexistent;no
183;56.0;blue-collar - Covilhã;married;basic.4y;unknown;yes;no;telephone;may;fri;;2;999;0;nonexistent;no
184;37.0;services - Oliveira do Bairro;married;high.school;no;yes;no;cellular;nov;tue;157.0;2;999;0;nonexistent;no
185;29.0;technician - Miranda do Douro;single;basic.9y;no;yes;no;cellular;may;mon;288.0;2;999;0;nonexistent;no
186;40.0;services - Valbom;married;high.school;no;yes;no;telephone;may;mon;;3;999;0;nonexistent;no
187;31.0;blue-collar - Agualva-Cacém;married;basic.9y;no;unknown;unknown;telephone;may;mon;73.0;1;999;0;nonexistent;no
188;55.0;;married;university.degree;no;yes;no;cellular;apr;thu;211.0;3;999;0;nonexistent;no
189;44.0;blue-collar - Almada;married;basic.9y;unknown;yes;no;telephone;may;mon;33.0;4;999;0;nonexistent;no
190;50.0;technician - Tondela;single;professional.course;no;no;yes;cellular;jul;mon;173.0;8;999;0;nonexistent;no
191;58.0;management - Valongo;married;university.degree;unknown;no;no;telephone;may;thu;205.0;2;999;0;nonexistent;no
192;29.0;unemployed - Évora;;university.degree;no;no;yes;telephone;may;wed;211.0;2;999;0;nonexistent;no
193;34.0;unemployed - Valbom;married;high.school;no;yes;no;cellular;nov;mon;564.0;2;999;0;nonexistent;no
194;53.0;admin. - Évora;married;basic.9y;unknown;yes;no;telephone;may;fri;168.0;3;999;0;nonexistent;no
195;42.0;management - Marinha Grande;married;unknown;unknown;no;no;telephone;may;fri;;2;999;0;nonexistent;no
196;51.0;technician - Setúbal;divorced;professional.course;no;yes;yes;cellular;apr;fri;;1;999;1;failure;no
197;42.0;management - Câmara de Lobos;married;university.degree;no;no;no;cellular;nov;mon;;1;999;0;nonexistent;no
198;36.0;technician - Espinho;;;no;yes;no;telephone;nov;tue;34.0;1;999;0;nonexistent;no
199;50.0;blue-collar - Mêda;married;;unknown;no;yes;telephone;may;tue;600.0;1;999;0;nonexistent;no
200;27.0;services - Portimão;single;high.school;no;yes;no;telephone;may;wed;386.0;1;999;0;nonexistent;no
201;57.0;admin. - Macedo de Cavaleiros;married;university.degree;unknown;yes;yes;cellular;aug;tue;61.0;4;999;0;nonexistent;no
202;36.0;blue-collar - Esposende;married;basic.9y;no;yes;no;cellular;may;thu;98.0;1;999;2;failure;no
203;49.0;blue-collar - Setúbal;married;basic.4y;unknown;unknown;unknown;telephone;jun;fri;25.0;1;999;0;nonexistent;no
204;29.0;services - Odivelas;married;high.school;unknown;yes;no;cellular;nov;thu;441.0;4;999;0;nonexistent;no
205;50.0;unemployed - Reguengos de Monsaraz;married;basic.9y;unknown;yes;no;telephone;aug;thu;192.0;1;999;0;nonexistent;no
206;42.0;admin. - Seixal;single;university.degree;unknown;yes;yes;telephone;may;wed;62.0;3;999;0;nonexistent;no
207;42.0;admin. - Ílhavo;single;high.school;no;yes;no;cellular;jul;thu;154.0;4;999;0;nonexistent;no
208;44.0;entrepreneur - Santana;married;university.degree;unknown;no;yes;cellular;jul;thu;13.0;2;999;0;nonexistent;no
209;33.0;services - Seixal;divorced;high.school;no;yes;no;telephone;jun;fri;52.0;4;999;0;nonexistent;no
210;33.0;entrepreneur - Fundão;married;university.degree;no;no;no;cellular;nov;thu;55.0;1;999;0;nonexistent;no
211;;technician - Sines;single;university.degree;unknown;yes;no;cellular;may;thu;722.0;1;999;0;nonexistent;no
212;46.0;admin. - Vila Real de Santo António;married;basic.6y;unknown;yes;no;cellular;may;mon;275.0;2;999;0;nonexistent;no
213;52.0;technician - Lagoa;divorced;university.degree;no;no;no;cellular;aug;tue;122.0;1;999;0;nonexistent;no
214;31.0;admin. - Portimão;married;university.degree;no;no;no;cellular;may;wed;;5;999;0;nonexistent;no
215;34.0;services - Ponte de Sor;married;high.school;no;yes;no;cellular;may;mon;577.0;1;999;0;nonexistent;no
216;39.0;technician - Valpaços;married;university.degree;unknown;no;no;cellular;aug;fri;1028.0;1;999;0;nonexistent;no
217;33.0;services - Fafe;;high.school;no;yes;no;telephone;may;thu;789.0;1;999;0;nonexistent;no
218;;admin. - Elvas;;high.school;no;yes;yes;cellular;jul;mon;263.0;1;999;0;nonexistent;no
219;44.0;blue-collar - Serpa;married;basic.6y;unknown;no;no;cellular;jul;thu;168.0;1;999;0;nonexistent;no
220;51.0;;married;basic.4y;unknown;no;no;cellular;aug;tue;;2;999;0;nonexistent;no
221;43.0;entrepreneur - Barreiro;married;basic.9y;no;no;no;telephone;jun;tue;301.0;1;999;0;nonexistent;no
222;36.0;housemaid - Agualva-Cacém;married;high.school;no;no;no;telephone;may;tue;141.0;4;999;0;nonexistent;no
223;51.0;admin. - Rio Tinto;married;;no;yes;no;telephone;may;thu;;2;999;0;nonexistent;no
224;28.0;admin. - Gafanha da Nazaré;single;university.degree;no;no;no;cellular;jul;thu;69.0;3;999;0;nonexistent;no
225;24.0;services - Elvas;single;high.school;no;no;no;telephone;jul;wed;61.0;14;999;0;nonexistent;no
226;34.0;services - Tomar;single;high.school;no;no;no;cellular;nov;wed;;2;999;0;nonexistent;no
227;35.0;blue-collar - Silves;married;basic.6y;no;yes;no;telephone;may;fri;;2;999;0;nonexistent;no
228;49.0;entrepreneur - Câmara de Lobos;married;university.degree;unknown;yes;yes;cellular;may;thu;197.0;3;999;0;nonexistent;no
229;22.0;blue-collar - Olhão da Restauração;single;;unknown;unknown;unknown;telephone;may;tue;270.0;1;999;0;nonexistent;no
230;37.0;services - Seixal;married;basic.6y;unknown;yes;no;cellular;nov;mon;372.0;1;999;0;nonexistent;no
231;47.0;admin. - Fundão;married;university.degree;no;no;no;cellular;jul;fri;84.0;3;999;0;nonexistent;no
232;;;single;high.school;no;no;no;cellular;aug;tue;243.0;4;999;0;nonexistent;no
233;24.0;unemployed - Fafe;single;;no;no;yes;telephone;may;tue;121.0;2;999;0;nonexistent;no
234;31.0;blue-collar - Pinhel;;high.school;no;no;no;cellular;jul;wed;166.0;1;999;0;nonexistent;no
235;34.0;admin. - Portimão;married;;no;yes;no;telephone;may;wed;;2;999;0;nonexistent;no
236;49.0;blue-collar - Machico;married;basic.9y;no;yes;no;telephone;may;tue;3.0;1;999;0;nonexistent;no
237;55.0;services - Serpa;;high.school;no;yes;no;telephone;may;tue;;1;999;0;nonexistent;no
238;45.0;services - Santana;married;basic.6y;no;yes;yes;telephone;jun;thu;;1;999;0;nonexistent;no
239;32.0;technician - Portimão;single;high.school;no;yes;yes;cellular;may;mon;;1;999;0;nonexistent;no
240;54.0;technician - Câmara de Lobos;married;professional.course;no;no;no;cellular;jul;fri;796.0;1;999;0;nonexistent;no
